date,method,true_net_profit,gross_revenue,real_deg_cost,throughput,full_cycles
2019-01-01,dp_deg,25.6723,55.6723,30,2.5,1.25
2019-01-01,dp_nodeg,-32.4583,69.5417,102,8.5,4.25
2019-01-01,greedy,9.77343,51.7734,42,3.5,1.75
2019-01-02,dp_deg,43.1805,55.1805,12,1,0.5
2019-01-02,dp_nodeg,12.4033,72.4033,60,5,2.5
2019-01-02,greedy,52.4771,70.4771,18,1.5,0.75
2019-01-03,dp_deg,1.03727e-14,1.33703e-14,2.9976e-15,2.498e-16,1.249e-16
2019-01-03,dp_nodeg,-9.62665,14.3734,24,2,1
2019-01-03,greedy,-12.4134,11.5866,24,2,1
2019-01-04,dp_deg,8.56431e-15,1.15619e-14,2.9976e-15,2.498e-16,1.249e-16
2019-01-04,dp_nodeg,-14.6196,9.38037,24,2,1
2019-01-04,greedy,-53.4019,-23.4019,30,2.5,1.25
2019-01-05,dp_deg,6.67685,18.6769,12,1,0.5
2019-01-05,dp_nodeg,-16.1087,19.8913,36,3,1.5
2019-01-05,greedy,16.2479,34.2479,18,1.5,0.75
2019-01-06,dp_deg,9.63812e-15,1.26357e-14,2.9976e-15,2.498e-16,1.249e-16
2019-01-06,dp_nodeg,-26.2846,9.71541,36,3,1.5
2019-01-06,greedy,12.0241,30.0241,18,1.5,0.75
2019-01-07,dp_deg,21.7516,33.7516,12,1,0.5
2019-01-07,dp_nodeg,19.3158,43.3158,24,2,1
2019-01-07,greedy,-33.3786,-3.37862,30,2.5,1.25
2019-01-08,dp_deg,5.56585,17.5659,12,1,0.5
2019-01-08,dp_nodeg,-16.7721,31.2279,48,4,2
2019-01-08,greedy,-3.72388,20.2761,24,2,1
2019-01-09,dp_deg,12.089,24.089,12,1,0.5
2019-01-09,dp_nodeg,-6.33218,29.6678,36,3,1.5
2019-01-09,greedy,19.7889,37.7889,18,1.5,0.75
2019-01-10,dp_deg,2.42209,14.4221,12,1,0.5
2019-01-10,dp_nodeg,-0.241205,23.7588,24,2,1
2019-01-10,greedy,-2.85637,21.1436,24,2,1
2019-01-11,dp_deg,8.56624e-15,1.15638e-14,2.9976e-15,2.498e-16,1.249e-16
2019-01-11,dp_nodeg,-24.1931,11.8069,36,3,1.5
2019-01-11,greedy,-57.3599,-15.3599,42,3.5,1.75
2019-01-12,dp_deg,6.45431e-15,9.45192e-15,2.9976e-15,2.498e-16,1.249e-16
2019-01-12,dp_nodeg,-35.5808,12.4192,48,4,2
2019-01-12,greedy,-56.1788,-14.1788,42,3.5,1.75
2019-01-13,dp_deg,6.21112,18.2111,12,1,0.5
2019-01-13,dp_nodeg,-42.3112,47.6888,90,7.5,3.75
2019-01-13,greedy,-7.89266,22.1073,30,2.5,1.25
2019-01-14,dp_deg,20.0628,32.0628,12,1,0.5
2019-01-14,dp_nodeg,-15.0978,44.9022,60,5,2.5
2019-01-14,greedy,31.3965,49.3965,18,1.5,0.75
