plan_c_deg,true_net,total_gross,total_real_deg,total_throughput,total_cycles
0,-6924.74,8645.26,15570,1297.5,648.75
2,-3665.57,8352.43,12018,1001.5,500.75
4,-1332.16,7577.84,8910,742.5,371.25
6,150.789,6528.79,6378,531.5,265.75
8,961.482,5419.48,4458,371.5,185.75
10,1315.77,4381.77,3066,255.5,127.75
12,1389.63,3555.63,2166,180.5,90.25
14,1336.14,2914.14,1578,131.5,65.75
16,1248.39,2478.39,1230,102.5,51.25
18,1131.38,2085.38,954,79.5,39.75
20,938.956,1556.96,618,51.5,25.75
25,703.361,1057.36,354,29.5,14.75
30,494.958,680.958,186,15.5,7.75
