stage,soc_level,value
0,0,-16.7442
0,1,-13.0737
0,2,-9.40315
0,3,-5.73261
0,4,-2.06207
0,5,1.60847
0,6,5.279
0,7,8.94954
0,8,12.6201
0,9,16.2906
0,10,19.9612
0,11,23.6004
0,12,27.2397
0,13,30.879
0,14,34.5182
0,15,38.1575
0,16,41.7968
0,17,45.436
0,18,49.0753
0,19,52.7146
0,20,56.3538
1,0,-16.7442
1,1,-13.0737
1,2,-9.40315
1,3,-5.73261
1,4,-2.06207
1,5,1.60847
1,6,5.279
1,7,8.94954
1,8,12.6201
1,9,16.2906
1,10,19.9612
1,11,23.6004
1,12,27.2397
1,13,30.879
1,14,34.5182
1,15,38.1575
1,16,41.7968
1,17,45.436
1,18,49.0753
1,19,52.7146
1,20,56.3538
2,0,-16.7442
2,1,-13.0737
2,2,-9.40315
2,3,-5.73261
2,4,-2.06207
2,5,1.60847
2,6,5.279
2,7,8.94954
2,8,12.6201
2,9,16.2906
2,10,19.9612
2,11,23.6004
2,12,27.2397
2,13,30.879
2,14,34.5182
2,15,38.1575
2,16,41.7968
2,17,45.436
2,18,49.0753
2,19,52.7146
2,20,56.3538
3,0,-16.7442
3,1,-13.0737
3,2,-9.40315
3,3,-5.73261
3,4,-2.06207
3,5,1.60847
3,6,5.279
3,7,8.94954
3,8,12.6201
3,9,16.2906
3,10,19.9612
3,11,23.6004
3,12,27.2397
3,13,30.879
3,14,34.5182
3,15,38.1575
3,16,41.7968
3,17,45.436
3,18,49.0753
3,19,52.7146
3,20,56.3538
4,0,-19.5263
4,1,-15.6088
4,2,-11.6914
4,3,-7.77388
4,4,-3.85641
4,5,0.0610658
4,6,3.97854
4,7,7.89602
4,8,11.8135
4,9,15.731
4,10,19.6484
4,11,23.319
4,12,26.9895
4,13,30.6601
4,14,34.3306
4,15,38.0011
4,16,41.6717
4,17,45.3422
4,18,49.0127
4,19,52.6833
4,20,56.3538
5,0,-29.2493
5,1,-24.6065
5,2,-19.9637
5,3,-15.3208
5,4,-10.678
5,5,-6.03513
5,6,-1.39229
5,7,3.25055
5,8,7.89339
5,9,12.5362
5,10,17.1791
5,11,21.0965
5,12,25.014
5,13,28.9315
5,14,32.849
5,15,36.7664
5,16,40.6839
5,17,44.6014
5,18,48.5189
5,19,52.4363
5,20,56.3538
6,0,-37.0402
6,1,-32.3437
6,2,-27.6471
6,3,-22.9505
6,4,-18.254
6,5,-13.5574
6,6,-8.86085
6,7,-4.16428
6,8,0.532288
6,9,5.22886
6,10,9.92542
6,11,14.5683
6,12,19.2111
6,13,23.8539
6,14,28.4968
6,15,33.1396
6,16,37.7825
6,17,42.4253
6,18,47.0681
6,19,51.711
6,20,56.3538
7,0,-40.3933
7,1,-35.3614
7,2,-30.3295
7,3,-25.2977
7,4,-20.2658
7,5,-15.2339
7,6,-10.2021
7,7,-5.17018
7,8,-0.138315
7,9,4.89355
7,10,9.92542
7,11,14.5683
7,12,19.2111
7,13,23.8539
7,14,28.4968
7,15,33.1396
7,16,37.7825
7,17,42.4253
7,18,47.0681
7,19,51.711
7,20,56.3538
8,0,-40.3933
8,1,-35.3614
8,2,-30.3295
8,3,-25.2977
8,4,-20.2658
8,5,-15.2339
8,6,-10.2021
8,7,-5.17018
8,8,-0.138315
8,9,4.89355
8,10,9.92542
8,11,14.5683
8,12,19.2111
